"Dissemination Area (DA)","Province","DA Population","Residential instability Quintiles","Residential instability Scores","Ethno-cultural composition Quintiles","Ethno-cultural composition Scores","Economic dependency Quintiles","Economic dependency Scores","Situational vulnerability Quintiles","Situational vulnerability Scores"
10010165,Newfoundland & Labrador,500,4,0.028,2,-0.754,2,-0.427,2,-0.382
10010166,Newfoundland & Labrador,325,3,-0.065,4,0.107,4,0.312,2,-0.379
10010167,Newfoundland & Labrador,435,1,-0.84,1,-0.824,5,1.506,2,-0.487
10010168,Newfoundland & Labrador,590,3,-0.253,2,-0.76,4,0.528,3,-0.151
10010169,Newfoundland & Labrador,300,3,-0.273,1,-0.805,4,0.333,3,-0.06
10010170,Newfoundland & Labrador,370,2,-0.693,1,-1.024,5,1.172,2,-0.5
10010171,Newfoundland & Labrador,420,3,-0.225,1,-1.07,2,-0.383,2,-0.639
10010172,Newfoundland & Labrador,230,4,0.266,2,-0.694,1,-1.217,3,-0.08
10010173,Newfoundland & Labrador,755,4,0.358,2,-0.713,3,-0.204,3,-0.087
10010174,Newfoundland & Labrador,855,3,-0.4,1,-0.959,3,-0.018,2,-0.487
10010175,Newfoundland & Labrador,1095,4,0.075,3,-0.498,3,0.058,5,0.704
10010176,Newfoundland & Labrador,405,4,0.38,2,-0.555,2,-0.326,4,0.352
10010180,Newfoundland & Labrador,495,2,-0.732,1,-1.047,3,0.039,1,-0.897
10010181,Newfoundland & Labrador,385,3,-0.154,2,-0.609,5,1.679,1,-0.779
10010182,Newfoundland & Labrador,335,4,0.144,1,-0.987,3,-0.127,4,-0.005
10010187,Newfoundland & Labrador,570,4,0.567,1,-1.184,4,0.191,3,-0.093
10010191,Newfoundland & Labrador,735,4,0.067,3,-0.469,5,0.969,5,1.655
10010192,Newfoundland & Labrador,335,3,-0.304,2,-0.733,3,0.027,4,0.172
10010193,Newfoundland & Labrador,540,3,-0.458,3,-0.363,4,0.296,5,1.345
10010194,Newfoundland & Labrador,195,4,0.099,3,-0.414,4,0.601,5,1.535
10010195,Newfoundland & Labrador,565,3,-0.082,1,-0.938,3,0.023,3,-0.015
10010196,Newfoundland & Labrador,515,4,0.212,1,-1.034,4,0.674,1,-0.916
10010198,Newfoundland & Labrador,395,3,-0.251,1,-1.117,3,0.019,2,-0.403
10010199,Newfoundland & Labrador,210,4,0.265,2,-0.693,5,2.176,2,-0.399
10010200,Newfoundland & Labrador,430,2,-0.629,2,-0.608,2,-0.351,3,-0.125
10010201,Newfoundland & Labrador,425,4,0.365,2,-0.614,4,0.227,4,0.049
10010202,Newfoundland & Labrador,360,4,0.09,1,-0.894,4,0.446,2,-0.347
10010203,Newfoundland & Labrador,325,2,-0.6,3,-0.222,5,1.402,4,0.132
10010204,Newfoundland & Labrador,615,5,1.152,3,-0.157,4,0.208,5,0.991
10010206,Newfoundland & Labrador,830,5,1.5,3,-0.264,5,1.462,4,0.166
10010207,Newfoundland & Labrador,1235,4,0.627,3,-0.267,2,-0.547,4,0.308
10010208,Newfoundland & Labrador,1630,5,0.83,3,-0.256,3,-0.009,5,0.602
10010209,Newfoundland & Labrador,495,4,0.134,2,-0.657,4,0.233,3,-0.249
10010210,Newfoundland & Labrador,460,4,0.39,3,-0.277,5,0.759,5,1.436
10010211,Newfoundland & Labrador,640,5,1.274,2,-0.779,5,1.197,4,0.2
10010212,Newfoundland & Labrador,315,4,0.407,1,-0.88,4,0.461,4,0.155
10010213,Newfoundland & Labrador,550,5,1.093,1,-1.078,5,1.858,2,-0.535
10010214,Newfoundland & Labrador,310,5,1.391,3,-0.105,4,0.323,5,1.412
10010215,Newfoundland & Labrador,420,4,0.131,2,-0.766,2,-0.454,5,0.94
10010216,Newfoundland & Labrador,325,4,0.373,1,-0.839,3,-0.042,3,-0.282
10010217,Newfoundland & Labrador,395,4,0.661,2,-0.684,2,-0.469,4,0.38
10010218,Newfoundland & Labrador,280,5,1.88,3,-0.15,5,1.097,5,1.953
10010219,Newfoundland & Labrador,590,4,0.27,1,-0.854,4,0.672,5,1.193
10010220,Newfoundland & Labrador,320,5,1.04,2,-0.602,5,1.516,5,1.48
10010221,Newfoundland & Labrador,555,5,0.981,1,-0.82,5,1.183,5,0.529
10010222,Newfoundland & Labrador,535,4,0.663,2,-0.764,2,-0.374,5,0.848
10010223,Newfoundland & Labrador,470,5,1.697,2,-0.719,4,0.224,5,0.624
10010224,Newfoundland & Labrador,410,5,0.928,1,-0.956,4,0.448,4,0.21
10010225,Newfoundland & Labrador,205,4,0.662,1,-0.923,5,1.338,5,0.855
10010226,Newfoundland & Labrador,455,5,0.905,3,-0.407,5,1.409,5,2.01
10010227,Newfoundland & Labrador,300,4,0.67,1,-0.824,3,-0.02,3,-0.062
10010228,Newfoundland & Labrador,425,5,0.951,3,-0.129,1,-0.82,5,0.585
10010229,Newfoundland & Labrador,470,4,0.325,2,-0.637,2,-0.664,4,0.138
10010230,Newfoundland & Labrador,560,5,1.198,2,-0.576,4,0.358,5,0.534
10010231,Newfoundland & Labrador,475,4,0.716,2,-0.704,1,-0.865,3,-0.067
10010232,Newfoundland & Labrador,410,4,0.701,3,-0.399,4,0.204,5,0.614
10010233,Newfoundland & Labrador,405,5,0.917,4,0.234,5,0.972,5,2.109
10010234,Newfoundland & Labrador,520,5,0.914,3,-0.505,1,-0.844,5,0.459
10010235,Newfoundland & Labrador,325,5,0.966,3,-0.227,5,0.785,5,1.84
10010236,Newfoundland & Labrador,475,5,1.119,5,0.783,4,0.404,5,2.239
10010237,Newfoundland & Labrador,485,5,1.444,3,-0.23,1,-0.798,4,0.19
10010238,Newfoundland & Labrador,680,4,0.585,5,0.991,2,-0.42,4,0.043
10010239,Newfoundland & Labrador,570,5,1.742,3,-0.378,3,0.07,5,0.477
10010240,Newfoundland & Labrador,700,5,1.949,4,0.671,1,-1.008,4,0.415
10010241,Newfoundland & Labrador,535,5,2.875,5,0.896,5,1.421,5,0.641
10010242,Newfoundland & Labrador,655,5,0.841,3,-0.213,3,-0.1,5,0.971
10010243,Newfoundland & Labrador,1145,4,0.156,3,-0.463,1,-1.246,3,-0.312
10010244,Newfoundland & Labrador,700,5,1.411,3,-0.438,3,0.007,5,0.676
10010245,Newfoundland & Labrador,570,4,0.706,3,-0.209,3,-0.289,4,0.4
10010246,Newfoundland & Labrador,425,4,0.681,2,-0.747,2,-0.739,1,-0.763
10010247,Newfoundland & Labrador,415,4,0.461,4,0.05,3,-0.279,4,0.004
10010248,Newfoundland & Labrador,370,4,0.169,2,-0.542,4,0.487,3,-0.139
10010249,Newfoundland & Labrador,460,5,1.104,4,-0.018,1,-1.397,3,-0.188
10010250,Newfoundland & Labrador,425,3,-0.085,2,-0.541,3,-0.29,3,-0.238
10010251,Newfoundland & Labrador,440,3,-0.091,3,-0.528,2,-0.68,1,-0.962
10010252,Newfoundland & Labrador,540,4,0.671,2,-0.787,3,-0.032,1,-0.709
10010253,Newfoundland & Labrador,415,4,0.038,2,-0.598,1,-0.907,3,-0.243
10010254,Newfoundland & Labrador,465,3,-0.338,3,-0.422,4,0.202,2,-0.488
10010255,Newfoundland & Labrador,495,4,0.399,3,-0.485,3,0.094,1,-0.712
10010256,Newfoundland & Labrador,520,4,-0.032,2,-0.574,3,-0.152,2,-0.386
10010257,Newfoundland & Labrador,505,2,-0.495,2,-0.634,5,1.213,1,-0.952
10010258,Newfoundland & Labrador,435,3,-0.325,1,-1.053,3,-0.239,1,-0.719
10010259,Newfoundland & Labrador,475,4,0.769,2,-0.612,4,0.589,5,0.541
10010260,Newfoundland & Labrador,385,3,-0.321,1,-1.18,2,-0.614,3,-0.182
10010261,Newfoundland & Labrador,470,4,0.01,2,-0.538,4,0.427,2,-0.445
10010262,Newfoundland & Labrador,465,5,0.992,4,0.287,1,-0.862,2,-0.401
10010263,Newfoundland & Labrador,465,3,-0.303,2,-0.577,4,0.239,1,-0.674
10010264,Newfoundland & Labrador,450,4,0.226,3,-0.491,5,0.85,2,-0.388
10010265,Newfoundland & Labrador,525,2,-0.696,1,-0.908,3,-0.044,1,-0.777
10010266,Newfoundland & Labrador,640,4,0.564,3,-0.437,4,0.552,3,-0.234
10010267,Newfoundland & Labrador,585,2,-0.564,2,-0.619,4,0.281,2,-0.495
10010268,Newfoundland & Labrador,275,2,-0.713,2,-0.738,5,0.972,2,-0.641
10010269,Newfoundland & Labrador,1145,2,-0.761,2,-0.663,2,-0.329,2,-0.492
10010270,Newfoundland & Labrador,820,2,-0.509,3,-0.464,3,-0.164,1,-0.692
